datetime,open,high,low,close,volume
2025-01-01 09:15:00+05:30,1889.9,1902.95,1888.05,1893.95,101193
2025-01-01 09:30:00+05:30,1893.95,1896.15,1885.5,1887.0,65008
2025-01-01 09:45:00+05:30,1887.0,1888.3,1881.15,1882.4,71341
2025-01-01 10:00:00+05:30,1882.4,1888.3,1880.8,1886.7,40860
2025-01-01 10:15:00+05:30,1886.7,1887.0,1878.65,1885.9,47790
2025-01-01 10:30:00+05:30,1885.9,1892.3,1883.25,1890.3,26045
2025-01-01 10:45:00+05:30,1890.45,1894.35,1887.05,1888.75,70066
2025-01-01 11:00:00+05:30,1888.9,1894.9,1883.8,1886.85,190452
2025-01-01 11:15:00+05:30,1887.2,1893.95,1886.5,1889.4,40522
2025-01-01 11:30:00+05:30,1888.85,1890.05,1884.15,1890.05,57002
2025-01-01 11:45:00+05:30,1889.95,1890.9,1886.0,1887.5,18790
2025-01-01 12:00:00+05:30,1887.35,1887.7,1885.05,1886.7,17822
2025-01-01 12:15:00+05:30,1886.65,1891.9,1884.85,1891.6,43982
2025-01-01 12:30:00+05:30,1891.6,1894.5,1891.2,1893.7,22980
2025-01-01 12:45:00+05:30,1893.7,1894.0,1888.25,1889.4,26388
2025-01-01 13:00:00+05:30,1889.4,1891.95,1887.6,1889.0,13187
2025-01-01 13:15:00+05:30,1889.05,1891.0,1888.4,1890.5,13141
2025-01-01 13:30:00+05:30,1890.9,1891.9,1887.3,1891.25,37891
2025-01-01 13:45:00+05:30,1891.25,1893.75,1888.05,1892.5,29981
2025-01-01 14:00:00+05:30,1891.75,1894.0,1890.25,1890.95,26762
2025-01-01 14:15:00+05:30,1890.9,1892.65,1887.8,1889.7,147702
2025-01-01 14:30:00+05:30,1889.7,1891.35,1888.55,1890.6,28418
2025-01-01 14:45:00+05:30,1890.3,1892.0,1888.85,1890.7,33031
2025-01-01 15:00:00+05:30,1890.65,1891.75,1888.5,1889.0,58453
2025-01-01 15:15:00+05:30,1888.95,1894.0,1887.05,1894.0,109149
2025-01-02 09:15:00+05:30,1892.0,1896.0,1879.85,1880.0,68575
2025-01-02 09:30:00+05:30,1880.5,1882.95,1873.2,1874.05,548286
2025-01-02 09:45:00+05:30,1874.95,1877.95,1870.2,1873.1,63990
2025-01-02 10:00:00+05:30,1873.1,1873.4,1867.3,1870.0,58963
2025-01-02 10:15:00+05:30,1868.85,1871.7,1865.25,1868.0,52295
2025-01-02 10:30:00+05:30,1868.0,1871.25,1864.95,1869.7,203363
2025-01-02 10:45:00+05:30,1869.5,1875.2,1868.4,1870.5,166782
2025-01-02 11:00:00+05:30,1870.25,1874.0,1870.0,1871.9,41075
2025-01-02 11:15:00+05:30,1872.75,1877.65,1871.6,1877.05,48052
2025-01-02 11:30:00+05:30,1877.2,1877.45,1874.6,1876.0,56168
